Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,Ejercico 5,Ejercicios sistemas
Semilla: Tren Superior A,Flexiones en Pared,Flexiones Inclinadas (manos en silla),Plancha en Rodillas,Remo con Liga (agarre neutro),Escápula Push-ups,Vigor Corporal
Semilla: Tren Superior B,Flexiones en Rodillas,Remo con Liga (agarre supino),Press de Hombro con Liga,Plancha Inclinada (manos en paralelas),Fondos Asistidos (pies en suelo),Vigor Corporal
Semilla: Tren Superior C,Flexiones Neutras (en paralelas),Escápula Push-ups,Remo con Liga (agarre prono),L-Sit Asistido (rodillas flexionadas),Fondos de Tríceps (en paralelas),Vigor Corporal
Semilla: Tren Inferior A,Sentadilla Normal,Puente de Glúteo,Zancada Reversa,Elevación de Talones (de pie),Sentadilla Sumo,Vigor Corporal
Semilla: Tren Inferior B,Sentadilla con Pausa,Zancada Caminando,Puente de Glúteo a Una Pierna,Sentadilla Búlgara Asistida,Wall Sit (sentadilla en pared),Vigor Corporal
Semilla: Tren Inferior C,Sentadilla Cosaca Asistida,Step-Up (en silla baja),Peso Muerto a Una Pierna (sin peso),Zancada Lateral,Elevación de Talones a Una Pierna,Vigor Corporal
Semilla: Cuerpo Completo A,Flexiones en Pared,Sentadilla Normal,Plancha en Rodillas,Puente de Glúteo,Remo con Liga (agarre neutro),Vigor Corporal
Semilla: Cuerpo Completo B,Flexiones en Rodillas,Zancada Reversa,Escápula Push-ups,Sentadilla Sumo,Fondos Asistidos (pies en suelo),Vigor Corporal
Semilla: Cuerpo Completo C,Flexiones Neutras (en paralelas),Sentadilla con Pausa,L-Sit Asistido (rodillas flexionadas),Puente de Glúteo a Una Pierna,Remo con Liga (agarre supino),Vigor Corporal
Pino: Tren Superior A,Flexiones Escapulares,Remo Sentado con Liga,Plancha Inclinada,Pike Push-ups (en paralelas),Fondos en Paralelas,Vigor Corporal
Pino: Tren Superior B,Flexiones Diamante,Remo con Liga (agarre amplio),Press de Hombro con Liga (de pie),L-Sit (piernas extendidas),Flexiones en Paralelas (rango completo),Vigor Corporal
Pino: Tren Superior C,Flexiones Archer Asistidas,Dominadas Australianas (en barra baja),Fondos Profundos en Paralelas,Pike Push-ups Elevados,Remo con Liga (agarre cerrado),Vigor Corporal
Pino: Tren Inferior A,Sentadilla Búlgara,Peso Muerto Rumano a Una Pierna,Sentadilla con Salto,Puente de Glúteo Elevado (pies en silla),Elevación de Talones con Pausa,Vigor Corporal
Pino: Tren Inferior B,Sentadilla Cosaca,Zancada con Salto Alternada,Hip Thrust a Una Pierna (en silla),Step-Up Alto (en silla),Wall Sit con Una Pierna,Vigor Corporal
Pino: Tren Inferior C,Pistol Squat Asistida (con liga),Curl Nórdico Asistido (con liga),Sentadilla Sissy Asistida,Zancada Búlgara con Pausa,Salto al Cajón (en silla firme),Vigor Corporal
Pino: Cuerpo Completo A,Flexiones Escapulares,Sentadilla Búlgara,Fondos en Paralelas,Peso Muerto Rumano a Una Pierna,Plancha Inclinada,Vigor Corporal
Pino: Cuerpo Completo B,Pike Push-ups (en paralelas),Sentadilla Cosaca,Remo Sentado con Liga,Puente de Glúteo Elevado (pies en silla),L-Sit (piernas extendidas),Vigor Corporal
Pino: Cuerpo Completo C,Flexiones Diamante,Zancada con Salto Alternada,Dominadas Australianas (en barra baja),Hip Thrust a Una Pierna (en silla),Fondos Profundos en Paralelas,Vigor Corporal
Semilla Gym: Tren Superior A,Press de Banca con Barra,Remo con Mancuerna,"Press Militar con Mancuernas
",Curl de Biceps con Mancuernas,Extensión de Triceps en Polea,Carga de Hierro
Semilla Gym: Tren Superior B,Press Inclinado con Mancuernas,Jalón al Pecho en Polea,Elevaciones Laterales con Mancuernas,Curl Martillo con Mancuernas,Fondos en Maquina Asistida,Carga de Hierro
Semilla Gym: Tren Superior C,Press de Banca con Mancuernas,Remo en Maquina,Press Arnold con Mancuernas,Curl con Barra Z,Press Frances con Mancuerna,Carga de Hierro
Semilla Gym: Tren Inferior A,Sentadilla con Barra,Prensa de Piernas,Curl Femoral en Maquina,Extensión de Cuadriceps en Maquina,Elevación de Talones con Barra,Carga de Hierro
Semilla Gym: Tren Inferior B,Peso Muerto Rumano con Barra,Zancada con Mancuernas,Hip Thrust con Barra,Sentadilla Goblet con Mancuerna,Elevación de Talones con Barra,Carga de Hierro
Semilla Gym: Tren Inferior C,Sentadilla Frontal con Barra,Step-Up con Mancuernas,Curl Femoral Sentado en Maquina,Aducción en Maquina,Abducción en Maquina,Carga de Hierro
Semilla Gym: Cuerpo Completo A,Press de Banca con Barra,Sentadilla con Barra,Remo con Mancuerna,Curl Femoral en Maquina,"Press Militar con Mancuernas
",Carga de Hierro
Semilla Gym: Cuerpo Completo B,Press Inclinado con Mancuernas,Zancada con Mancuernas,Jalón al Pecho en Polea,Hip Thrust con Barra,Curl de Biceps con Mancuernas,Carga de Hierro
Semilla Gym: Cuerpo Completo C,Press de Banca con Mancuernas,Sentadilla Goblet con Mancuerna,Remo en Maquina,Extensión de Cuadriceps en Maquina,Elevaciones Laterales con Mancuernas,Carga de Hierro
Pino Gym: Tren Superior A,Press de Banca Inclinado con Barra,Remo con Barra,Press Militar con Barra,Curl con Barra Recta,Extensión de Triceps con Barra Z,Carga de Hierro
Pino Gym: Tren Superior B,Press Declinado con Mancuernas,Dominadas con Peso,Elevaciones Laterales Inclinado,Curl Concentrado con Mancuerna,Fondos con Peso en Paralelas,Carga de Hierro
Pino Gym: Tren Superior C,Aperturas con Mancuernas,Remo Pendlay con Barra,Face Pull en Polea,Curl con Barra Z,Press de Triceps en Polea con Cuerda,Carga de Hierro
Pino Gym: Tren Inferior A,Sentadilla Profunda con Barra,Peso Muerto Convencional,Prensa de Piernas (pies altos),Curl Femoral Acostado en Maquina,Elevación de Talones Sentado con Disco,Carga de Hierro
Pino Gym: Tren Inferior B,Sentadilla Bulgara con Mancuernas,Hip Thrust con Barra (pies elevados),Zancada Caminando con Barra,Extensión de Cuadriceps Unilateral,Peso Muerto Sumo con Barra,Carga de Hierro
Pino Gym: Tren Inferior C,Sentadilla Hack en Maquina,Peso Muerto Rumano con Mancuernas,Peso Muerto con Barra,Curl Femoral Nordico Asistido,Elevación de Talones de Pie en Maquina,Carga de Hierro
Pino Gym: Cuerpo Completo A,Press de Banca Inclinado con Barra,Sentadilla Profunda con Barra,Remo con Barra,Curl Femoral Acostado en Maquina,Press Militar con Barra,Carga de Hierro
Pino Gym: Cuerpo Completo B,Dominadas con Peso,Sentadilla Bulgara con Mancuernas,Aperturas con Mancuernas,Hip Thrust con Barra (pies elevados),Curl con Barra Recta,Carga de Hierro
Pino Gym: Cuerpo Completo C,Press Declinado con Mancuernas,Peso Muerto Convencional,Face Pull en Polea,Zancada Caminando con Barra,Fondos con Peso en Paralelas,Carga de Hierro
