🔒 Row ID,Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,Ejercico 5,Detalle equipo 1,Detalle equipo 2,Detalle equipo 3 ,detalle equipo 4 ,Detalle equipo 5,instrucciones 1,instruciones 2,instrucciones 3,instrucciones 4,instrucciones 5,Repeticiones 1.0,Repeticiones 2,Repeticiones 2.0,Repeticiones 3,Repeticiones 3.0,Repeticiones 4,Repeticiones 4.0,Repeticiones 5,Repeticiones 5.0,Consejo Pro 1,Consejo Pro 2,Consejo Pro 3,Consejo Pro 4,Consejo Pro 5,Músculos 1,Músculos 2,Músculos 3,Músculos 4,Músculos 5,Ejercicios sistemas,AreaDeTrabajo,Nivel,Enfoque,TodosEjercicioRtuina,TipoDisponibilidad,DiasSemana 1,DiasSemana 2,Dias A Mostrar,Repeticiones 1,Ejercicio 6,Repeticiones 6,Repeticiones 6.0,Músculos 6,RutaMaestría
,Tzalam Gym: Tren Superior A,Press de Banca Plano con Barra,Dominadas con Lastre,Press Militar con Barra,Curl de Bíceps con Barra EZ,Press Francés con Barra EZ,Banco plano + Barra,Barra de dominadas + Cinturón de lastre,Barra + Discos,Barra EZ + Discos,Banco plano + Barra EZ,Acuéstate en el banco. Sujeta la barra a una anchura ligeramente mayor que los hombros. Baja la barra hasta el centro del pecho y empuja explosivamente hacia arriba.,"Con un lastre añadido, cuélgate de la barra con agarre prono. Tira hasta que tu barbilla pase la barra. Baja controladamente.","De pie, sujeta la barra apoyada en las clavículas. Empuja la barra sobre la cabeza hasta bloquear los codos. Baja controladamente.","De pie, sujeta la barra EZ. Flexiona los codos llevando la barra hacia los hombros sin balancear el torso.","Acostado, sujeta la barra EZ por encima del pecho. Flexiona solo los codos llevando la barra hacia la frente y extiende nuevamente.",4 series de 5-8 reps,4 series de 5-8 reps,,4 series de 6-10 reps,,3 series de 8-12 reps,,3 series de 8-12 reps,,Mantén los omóplatos retraídos y los pies firmes en el suelo.,"Evita el balanceo, el movimiento debe ser estricto.",Aprieta glúteos y abdomen para estabilizar el torso.,Mantén los codos pegados al cuerpo.,Evita abrir los codos hacia afuera.,"Pecho, Tríceps, Deltoides frontal","Espalda, Bíceps","Hombros, Tríceps",Bíceps,Tríceps,Carga de Hierro,Vigor Corporal,Tzalam,Tren Superior,,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Mas de 3 Dias,4 series de 5-8 reps,,,,,
,Tzalam Gym: Tren Superior B,Press Inclinado con Mancuernas,Remo con Barra Pendlay,Elevaciones Laterales con Mancuernas,Curl Martillo con Mancuernas,Extensiones de Tríceps en Polea Alta,Banco inclinado + Mancuernas,Barra + Discos,Mancuernas,Mancuernas,Polea alta + Cuerda,"En un banco inclinado a 30-45 grados, empuja las mancuernas desde el pecho hacia arriba hasta que se toquen.",Torso paralelo al suelo. Tira explosivamente de la barra desde el suelo hacia el abdomen inferior y devuélvela al suelo en cada repetición.,"De pie, con una ligera flexión en los codos, eleva las mancuernas lateralmente hasta la altura de los hombros.",Sujeta las mancuernas con agarre neutro. Flexiona los codos llevando el peso hacia los hombros.,"De pie frente a la polea, extiende los brazos hacia abajo separando los extremos de la cuerda al final.",4 series de 6-10 reps,4 series de 5-8 reps,,4 series de 10-15 reps,,3 series de 8-12 reps,,3 series de 10-15 reps,,Controla la bajada para sentir el estiramiento en el pecho superior.,"No uses el torso para impulsar el peso, la fuerza viene de la espalda.",El dedo meñique debe apuntar ligeramente hacia arriba al final.,Excelente para desarrollar el músculo braquial.,Mantén los codos fijos a los lados del torso.,"Pecho superior, Tríceps, Deltoides frontal","Espalda (Dorsales, Romboides)",Deltoides lateral,"Bíceps, Braquial",Tríceps,Carga de Hierro,Vigor Corporal,Tzalam,Tren Superior,,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Mas de 3 Dias,4 series de 6-10 reps,,,,,
,Tzalam Gym: Tren Superior C,Fondos en Paralelas con Lastre,Remo con Mancuerna a Una Mano,Press Arnold con Mancuernas,Face Pull en Polea,Curl Concentrado,Barras paralelas + Cinturón de lastre,Banco plano + Mancuerna pesada,Banco con respaldo + Mancuernas,Polea alta + Cuerda,Banco + Mancuerna,"Sujeta las barras, baja el cuerpo doblando codos hasta romper los 90 grados, luego empuja hacia arriba.",Apoya una rodilla y mano en el banco. Tira de la mancuerna pesada hacia tu cadera apretando la espalda.,"Sentado, empieza con mancuernas al nivel del pecho y palmas hacia ti. Rota las muñecas mientras empujas hacia arriba.","Tira de la cuerda hacia tu rostro, separando las manos y apuntando los codos hacia atrás y afuera.","Sentado, apoya el codo en la parte interna del muslo y flexiona el brazo aislando el bíceps.",4 series de 6-10 reps,4 series de 6-10 reps por lado,,4 series de 8-12 reps,,4 series de 10-15 reps,,3 series de 10-12 reps por lado,,Inclínate un poco hacia adelante para involucrar más el pecho inferior.,"Piensa en jalar con el codo, no con la mano.",El movimiento de rotación activa todas las cabezas del deltoides.,Enfócate en juntar las escápulas.,Haz una pausa de 1 segundo en la máxima contracción.,"Pecho inferior, Tríceps","Dorsales, Trapecio","Hombros, Tríceps","Trapecio, Deltoides posterior",Bíceps,Carga de Hierro,Vigor Corporal,Tzalam,Tren Superior,,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Mas de 3 Dias,4 series de 6-10 reps,,,,,
,Tzalam Gym: Tren Inferior A,Sentadilla Frontal con Barra,Peso Muerto Rumano Pesado,Prensa de Piernas Unilateral,Curl Femoral Tumbado,Elevación de Talones de Pie,Rack + Barra + Discos,Barra + Discos,Máquina Prensa,Máquina Curl Femoral,Máquina o escalón + Carga,Apoya la barra en tus clavículas cruzando los brazos o agarre olímpico. Baja manteniendo el torso erguido.,Pies a la anchura de caderas. Baja la barra rozando las piernas echando la cadera hacia atrás con las rodillas ligeramente flexionadas.,Coloca un solo pie en la plataforma de la prensa. Baja lentamente y empuja con el talón.,"Tumbado en la máquina, flexiona las rodillas acercando los talones a los glúteos.","De pie, eleva los talones con la máxima carga posible. Pausa arriba 1 segundo.",4 series de 5-8 reps,4 series de 6-10 reps,,3 series de 8-10 reps por pierna,,4 series de 10-12 reps,,4 series de 12-15 reps,,Los codos deben apuntar hacia arriba durante todo el movimiento para que la barra no caiga.,Siente el estiramiento profundo en los isquios.,Excelente para corregir desequilibrios musculares en las piernas.,Controla la fase excéntrica (bajada).,Baja hasta sentir un buen estiramiento en la pantorrilla.,"Cuádriceps, Core","Isquiotibiales, Glúteos","Cuádriceps, Glúteos",Isquiotibiales,Pantorrillas (Gemelos),Carga de Hierro,Vigor Corporal,Tzalam,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 5-8 reps,,,,,
,Tzalam Gym: Tren Inferior B,Peso Muerto Convencional,Sentadilla Búlgara con Mancuernas,Hip Thrust con Barra,Extensión de Cuádriceps,Elevación de Talones Sentado,Barra + Discos,Banco + Mancuernas pesadas,Banco + Barra + Discos,Máquina de extensión,Máquina sentada o banco + Carga,"Barra en el suelo pegada a tus espinillas. Pecho arriba, cadera abajo. Empuja el suelo y levanta la barra extendiendo cadera y rodillas.",Empeine trasero en un banco. Mancuernas en las manos. Baja en línea recta hasta que el muslo paralelo quede al suelo.,Apoya la espalda alta en un banco. Coloca la barra en la cadera. Empuja fuerte hacia arriba apretando glúteos.,"Sentado en la máquina, extiende las rodillas apretando los cuádriceps arriba.","Sentado, coloca peso sobre tus rodillas. Eleva los talones lo más alto posible.",4 series de 3-6 reps,4 series de 6-8 reps por pierna,,4 series de 8-10 reps,,3 series de 12-15 reps,,4 series de 15-20 reps,,Mantén la espalda recta y la barra pegada a tu cuerpo en todo momento.,"Si quieres más enfoque en glúteo, inclina ligeramente el torso al frente.",Haz una pausa de 2 segundos en la parte más alta de la contracción.,Controla la bajada para maximizar la tensión muscular.,Apunta a aislar el músculo sóleo con este ejercicio.,Cadena posterior completa,"Cuádriceps, Glúteos",Glúteos,Cuádriceps,Pantorrillas (Sóleo),Carga de Hierro,Vigor Corporal,Tzalam,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 3-6 reps,,,,,
,Tzalam Gym: Tren Inferior C,Sentadilla Profunda con Barra,Zancadas Caminando con Mancuernas,Buenos Días (Good Mornings),Curl Femoral Sentado,Elevación de Talones en Prensa,Rack + Barra + Discos,Mancuernas pesadas,Barra + Discos,Máquina Curl Sentado,Máquina Prensa,"Barra en la espalda alta. Baja rompiendo el paralelo, manteniendo el pecho erguido, luego empuja hasta subir.",Mancuernas en las manos. Da un paso largo al frente y baja la rodilla trasera casi al suelo. Avanza paso a paso.,Barra en la espalda. Flexiona ligeramente las rodillas e inclina el torso recto hacia el frente sintiendo el estiramiento en isquios.,"Sentado en la máquina, empuja el rodillo hacia abajo contrayendo los isquiotibiales.","En la máquina de prensa, apoya solo las puntas de los pies y empuja extendiendo los tobillos.",4 series de 5-8 reps,4 series de 10 pasos por pierna,,3 series de 8-10 reps,,4 series de 10-12 reps,,4 series de 12-15 reps,,Asegúrate de llevar la cadera bien abajo pero sin perder la curvatura lumbar (guiño de glúteo).,Mantén la mirada al frente para no perder el equilibrio.,No uses peso extremo; enfócate en el estiramiento y la contracción de la espalda baja e isquios.,Aprieta al máximo abajo.,Siente el estiramiento profundo al regresar el peso.,"Cuádriceps, Glúteos",Piernas completas,"Espalda baja, Isquiotibiales",Isquiotibiales,Pantorrillas,Carga de Hierro,Vigor Corporal,Tzalam,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 5-8 reps,,,,,
,Tzalam Gym: Cuerpo Completo A,Press de Banca Plano con Barra,Sentadilla Frontal con Barra,Dominadas con Lastre,Peso Muerto Rumano,Press Militar con Barra,Banco + Barra + Discos,Rack + Barra + Discos,Barra + Cinturón lastre,Barra + Discos,Barra + Discos,Baja la barra al pecho y empuja con potencia hacia arriba.,Barra al frente. Baja profundo con el torso erguido y empuja para subir.,Sujeta la barra y tira hasta pasar la barbilla. Baja con control.,Baja la barra con las piernas casi rectas echando la cadera atrás.,Empuja la barra por encima de la cabeza y bloquea los brazos.,4 series de 5-8 reps,4 series de 5-8 reps,,4 series de 6-8 reps,,3 series de 8-10 reps,,3 series de 6-8 reps,,Empuja el piso con los pies para mayor estabilidad.,Respira profundo en el abdomen antes de bajar.,"Sube explosivo, baja controlado.",Mantén la barra siempre pegada a los muslos.,Aprieta glúteos para proteger la lumbar.,"Pecho, Tríceps","Cuádriceps, Core","Espalda, Bíceps","Isquiotibiales, Glúteos","Hombros, Tríceps",Carga de Hierro,Vigor Corporal,Tzalam,Cuerpo Completo,,3 Dias,Lunes Viernes,Miercoles,3 Dias,4 series de 5-8 reps,,,,,
,Tzalam Gym: Cuerpo Completo B,Peso Muerto Convencional,Fondos en Paralelas con Lastre,Sentadilla Búlgara con Mancuernas,Remo Pendlay con Barra,Elevaciones Laterales con Mancuernas,Barra + Discos,Paralelas + Lastre,Banco + Mancuernas,Barra + Discos,Mancuernas,Levanta la barra del suelo usando extensión de rodilla y cadera.,Baja en las paralelas pasando los 90 grados y empuja con fuerza.,"Apoya empeine trasero, baja recto y empuja con la pierna delantera.",Tira de la barra desde el suelo al abdomen en cada repetición.,Eleva las mancuernas a los lados hasta los hombros.,4 series de 3-5 reps,4 series de 6-8 reps,,3 series de 8-10 reps / pierna,,4 series de 6-8 reps,,4 series de 12-15 reps,,"Este es un levantamiento de fuerza máxima, asegura tu postura.",Inclínate ligeramente para enfatizar el pecho.,Usa pesas que realmente te reten en la serie.,Tira rápido y fuerte.,"No uses impulso, aísla el hombro.",Cadena posterior,"Pecho inferior, Tríceps","Cuádriceps, Glúteos",Espalda completa,Hombros (Laterales),Carga de Hierro,Vigor Corporal,Tzalam,Cuerpo Completo,,3 Dias,Miercoles,Lunes Viernes,3 Dias,4 series de 3-5 reps,,,,,
,Tzalam Gym: Cuerpo Completo C,Sentadilla Profunda con Barra,Press Inclinado con Mancuernas,Hip Thrust con Barra,Remo con Mancuerna a Una Mano,Press Arnold con Mancuernas,Rack + Barra + Discos,Banco Inclinado + Mancuernas,Banco + Barra + Discos,Banco + Mancuerna,Banco + Mancuernas,Barra atrás. Baja profundo y sube empujando fuerte.,Banco 30°. Empuja las mancuernas hacia arriba juntándolas en el centro.,Espalda en banco. Levanta la barra con las caderas apretando glúteos.,"Apoyado a una mano, tira de la mancuerna hacia tu cadera.",Gira las palmas hacia el frente mientras empujas las mancuernas.,4 series de 5-8 reps,4 series de 6-10 reps,,4 series de 8-10 reps,,3 series de 8-10 reps / lado,,3 series de 10-12 reps,,Siente el peso en toda la planta del pie.,Estira bien el pecho en la parte baja del movimiento.,Aguanta la contracción 1-2 segundos arriba.,"Piensa en mover el peso con tu codo, no tu mano.",Rotación fluida y controlada en hombros.,"Cuádriceps, Glúteos","Pecho superior, Tríceps",Glúteos,Dorsales,Hombros,Carga de Hierro,Vigor Corporal,Tzalam,Cuerpo Completo,,3 Dias,,,,4 series de 5-8 reps,,,,,
,Tzalam Híbrido: Tren Superior A,Press de Banca Plano con Barra,Fondos en Paralelas (Vigor Corporal),Dominadas con Lastre,Pike Push-ups Elevados,Curl de Bíceps con Barra EZ,Banco + Barra + Discos,Barras Paralelas,Cinturón lastre,Cajón o silla,Barra EZ + Discos,Realiza tu press de banca pesado enfocándote en fuerza explosiva.,Sube a las paralelas y realiza fondos lentos y controlados con tu peso.,Añade lastre para tus dominadas y tira fuerte pasando la barbilla.,Pies en alto. Baja tu cabeza en dirección al piso formando un triángulo y empuja fuerte.,Aisla tus bíceps con la barra EZ sin balancear tu cuerpo.,4 series de 5-8 reps,4 series de 8-12 reps,,4 series de 6-8 reps,,3 series de 8-12 reps,,3 series de 10-12 reps,,Es tu ejercicio principal de fuerza.,Conecta con tu pecho y tríceps en todo el rango.,No balancees el cuerpo.,Ajusta la altura de los pies para aumentar la dificultad.,Codos pegados a las costillas.,"Pecho, Tríceps","Pecho inferior, Tríceps","Espalda, Bíceps",Hombros,Bíceps, Método Híbrido V&V,Vigor Corporal,Tzalam,Tren Superior,,Mas de 3 Dias,Lunes Jueves ,Lunes Jueves ,Mas de 3 Dias,4 series de 5-8 reps,,,,,
