Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,Video Ejemplo,Musculos
Flexiones Escapulares,Pino,Barras Paralelas,"En posición de plancha sobre las barras, mantén los brazos totalmente rectos. Junta tus escápulas dejando que el pecho baje un poco y luego empuja con fuerza para separarlas.",No dobles los codos. El movimiento es corto y nace solo de tus hombros.,4 series de 8-12 reps,video,Serrato anterior y Trapecio
Flexiones en Pared,Semilla ,Muro,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.","Cuanto más alejes los pies de la pared, más difícil será.",3 series de 8-12 reps,Video,"Pectorales, Tríceps, Deltoides"
Remo Sentado con Liga,Pino,Barra para Ligas + Banda,Siéntate en el suelo frente a la barra. Pasa la liga por la barra y sujeta los extremos. Tira hacia tu ombligo llevando los codos atrás y apretando la espalda.,Mantén la espalda erguida y saca pecho. No permitas que la liga te encorve al regresar.,4 series de 8-12 reps,video,Espalda (Dorsales) y Brazos (Bíceps)
Sentadilla Normal,Semilla,N/A,"Pies a la anchura de los hombros. Baja la cadera como si fueras a sentarte en una silla, manteniendo la espalda recta y el peso en los talones. Sube con fuerza.",Mantén la mirada al frente y asegúrate de que tus rodillas no se cierren hacia adentro al subir y vayan en direncion a tus pies,4 series de 8-12 reps,video,Piernas (Cuádriceps) y Glúteos
Plancha Inclinada,Pino,"Barra baja, borde silla o cama",Apoya las manos en la barra baja en posición de flexión. Mantén el cuerpo en línea recta y aprieta el abdomen con fuerza sin dejar que la cadera caiga.,Imagina que quieres llevar el ombligo hacia tu columna para activar bien el core.,3 series de 30-45 seg,video,Abdomen (Core) y Hombros
Flexiones Neutras,Semilla,Barras Paralelas bajas,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",3 series de 8-12 reps,video,"Pecho, Tríceps, Deltoides frontal."
Escápula Push-ups,Semilla,Barras Paralelas bajas,"En posición de plancha, hunde y separa los omóplatos sin doblar los codos.","Imagina que quieres empujar el suelo lejos de ti para separar las ""alitas"" de la espalda.",3 series de 10-15 reps,video,"Serrato anterior, Trapecio, Romboides."
L-Sit Asistido,Semilla,Paralelas Bajas,"Siéntate entre las barras, brazos estirados, talones apoyados adelante. Eleva la cadera.","Bloquea los codos por completo. Si tus hombros suben a las orejas, estás fallando",3 series de 15-20 seg,,"Abdominales, Tríceps, Flexores de cadera."
Fondos de Tríceps,Semilla,Paralelas Bajas,"Pies estirados al frente, manos en barras. Baja la cadera doblando codos y sube.",No bajes demasiado si sientes tensión en el frente del hombro. El control es clave.,3 series de 10 reps,,"Tríceps, Pecho inferior."
Plancha,Semilla,Paralelas Bajas,Sujeta las barras y mantén el cuerpo alineado. Aprieta glúteos y abdomen.,No dejes que la zona lumbar se cuelgue. Mete la pelvis ligeramente (retroversión).,3 series de 30-45 seg,,"Core (todo el abdomen), Hombros."
