🔒 Row ID,Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Ejercicio 4,Ejercico 5,Detalle equipo 1,Detalle equipo 2,Detalle equipo 3 ,detalle equipo 4 ,Detalle equipo 5,instrucciones 1,instruciones 2,instrucciones 3,instrucciones 4,instrucciones 5,Repeticiones 1.0,Repeticiones 2,Repeticiones 2.0,Repeticiones 3,Repeticiones 3.0,Repeticiones 4,Repeticiones 4.0,Repeticiones 5,Repeticiones 5.0,Consejo Pro 1,Consejo Pro 2,Consejo Pro 3,Consejo Pro 4,Consejo Pro 5,Músculos 1,Músculos 2,Músculos 3,Músculos 4,Músculos 5,Ejercicios sistemas,AreaDeTrabajo,Nivel,Enfoque,TodosEjercicioRtuina,TipoDisponibilidad,DiasSemana 1,DiasSemana 2,Dias A Mostrar,Repeticiones 1,Ejercicio 6,Repeticiones 6,Repeticiones 6.0,Músculos 6,RutaMaestría
,Roble: Tren Superior A,Handstand Push-ups Estrictas,Dominadas a Una Mano (Negativas/Asistidas),Front Lever Hold,One Arm Push-ups (Asistidas/Pies Separados),L-Sit to V-Sit,Pared o Libre,Barra de dominadas,Barra de dominadas,Suelo,Barras Paralelas de Madera Veta & Vigor,"Apoyado en la pared (o libre), baja hasta que la cabeza toque el suelo y empuja explosivamente.",Sujeta la barra con una mano (asiste con la otra mano en la muñeca o solo dedos). Baja muy lento.,Cuélgate de la barra y eleva el cuerpo hasta que esté horizontal y paralelo al suelo. Mantén la postura.,"Posición de flexión, un brazo en la espalda. Baja y empuja controlando la rotación del torso.","En las paralelas, levanta las piernas a 90 grados y luego empuja la cadera hacia adelante elevando los pies hacia la cara.",4 series de 3-6 reps,4 series de 3-5 reps/brazo,,4 series de 10-15 seg,,4 series de 5-8 reps/brazo,,4 series de 5-8 reps,,Mantén el abdomen contraído para no arquear la zona lumbar (banana back).,El control excéntrico es la clave para desbloquear la dominada a una mano.,Retrae las escápulas y aprieta glúteos al máximo.,Abre más los pies para mayor equilibrio al principio.,Traba los codos y empuja las paralelas hacia abajo con furia.,"Hombros, Tríceps, Core","Dorsales, Bíceps, Braquial","Core, Dorsales, Hombros","Pecho, Tríceps, Deltoides frontal","Core, Flexores de cadera, Tríceps",Vigor Corporal,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 3-6 reps,,,,,
,Roble: Tren Superior B,Muscle-ups Estrictos,Tuck Planche Push-ups,Front Lever Pull-ups (o progresiones),Flexiones Archer Explosivas,Back Lever Hold,Barra de dominadas,Barras Paralelas de Madera Veta & Vigor,Barra de dominadas,Suelo,Barra de dominadas,"Cuelga de la barra, usa un agarre falso. Tira explosivamente hacia el pecho y haz la transición al fondo.","En posición de Tuck Planche sobre las paralelas, realiza una flexión bajando el torso y empuja.","Desde la posición de Front Lever (o Tuck), tira de tu cuerpo hacia la barra doblando los brazos.","Desplaza tu peso hacia un brazo, baja y empuja con tanta fuerza que las manos se despeguen del suelo al subir.",Cuelga de la barra y gira hacia atrás hasta que el cuerpo quede paralelo al suelo boca abajo. Sostén.,4 series de 3-5 reps,4 series de 5-8 reps,,4 series de 4-6 reps,,4 series de 6-8 reps/lado,,4 series de 15-20 seg,,"Concéntrate en la rapidez de la transición, no uses kipping en las piernas.",Inclínate bien hacia adelante. Todo el peso va al hombro frontal.,"Si es muy difícil, hazlo en posición Tuck (rodillas al pecho).",La explosividad recluta fibras de contracción rápida esenciales en maestría.,Mantén la rotación externa de los hombros y aprieta el pecho.,"Espalda, Pecho, Tríceps","Hombros, Pecho, Tríceps","Dorsales, Bíceps, Core","Pecho, Tríceps, Potencia","Pecho, Bíceps, Core",Vigor Corporal,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 3-5 reps,,,,,
,Roble: Tren Superior C,Straddle Planche Leans,Dominadas Explosivas al Estómago,Fondos Imposibles (Impossible Dips progresiones),Human Flag (Progresiones/Holds),Handstand Hold,Suelo o Paralelas de Madera,Barra de dominadas,Barras Paralelas de Madera Veta & Vigor,Poste vertical,Suelo,"Piernas abiertas, inclina tu cuerpo hacia adelante lo máximo posible con los codos bloqueados.",Tira de la barra con máxima explosividad intentando que la barra toque tu ombligo.,"Baja en las paralelas apoyando los codos hacia atrás hasta quedar sobre los antebrazos, y empuja de regreso.","Sujeta un poste vertical, una mano arriba tirando y la otra abajo empujando. Eleva el cuerpo horizontal.",Párate de manos libre sin pared y busca el equilibrio absoluto.,4 series de 15-20 seg,4 series de 5-8 reps,,4 series de 3-5 reps,,4 series de 10-15 seg/lado,,4 series de 30-45 seg,,Dedos apuntando hacia afuera o atrás. Protracción escapular total.,El tirón debe ser brutalmente rápido.,"Es puro tríceps, ajusta el apalancamiento deslizando los hombros.","La mano inferior es la clave, empuja el poste como si quisieras tirarlo.","Alinea muñecas, codos, hombros y caderas en una sola línea.","Hombros (Anterior), Core",Dorsales (Potencia),Tríceps (Aislamiento extremo),"Oblicuos, Dorsales, Hombros","Core, Hombros, Equilibrio",Vigor Corporal,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,4 series de 15-20 seg,,,,,
,Roble: Tren Inferior A,Pistol Squat Libre Estricta,Curl Nórdico Completo,Salto Longitud a Una Pierna,Dragon Pistol Squat (progresión),Elevación de Talón a Una Pierna con Déficit,Suelo,Soporte bajo / Compañero,Suelo,Suelo,Escalón o cajón,"De pie sobre una pierna, extiende la otra. Baja controladamente hasta que el isquiotibial toque el gemelo. Sube.","Arrodillado y con pies fijos, baja el torso recto hasta el suelo y vuelve a subir usando solo los isquios.","A la pata coja, salta lo más lejos que puedas y aterriza estabilizando sobre la misma pierna.",Pistol squat donde la pierna libre cruza por detrás de la pierna de apoyo.,"Sobre un escalón, baja el talón al máximo para estirar, pausa 2 seg, y sube explosivo.",4 series de 5-8 reps/pierna,4 series de 3-5 reps,,4 series de 5 saltos/pierna,,4 series de 3-5 reps/pierna,,4 series de 15-20 reps/pierna,,Los brazos al frente ayudan al equilibrio. Aprieta el abdomen en la bajada.,"Si no puedes subir completo, usa un empuje mínimo de las manos. Es el rey de isquios.",Congela el aterrizaje 1 segundo para entrenar los estabilizadores de rodilla.,"Requiere movilidad extrema de cadera, baja hasta donde controles.","Rango de movimiento completo, quema total en el gemelo.","Cuádriceps, Glúteos, Core",Isquiotibiales,"Potencia, Estabilidad rodilla","Cuádriceps, Movilidad cadera",Pantorrillas (Gemelos),Vigor Corporal,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 5-8 reps/pierna,,,,,
,Roble: Tren Inferior B,Shrimp Squat Avanzada,Sissy Squat Libre Profunda,Glute Ham Raise (en suelo),Salto al Cajón Pliométrico a Una Pierna,Wall Sit a Una Pierna (Lastrado/Extremo),Suelo,Soporte vertical para agarrar (opcional),Soporte pies,Cajón alto,Pared,Sujeta el tobillo de tu pierna libre por detrás. Baja hasta que la rodilla toque el suelo y sube sin soltar.,"Inclínate hacia atrás sobre las puntas de los pies, bajando las rodillas hacia adelante al ras del piso.","Baja el torso pivoteando sobre las rodillas, empuja y tira fuerte con los isquios y glúteos para volver.",Salta explosivamente hacia el cajón usando solo una pierna para el impulso y aterrizaje.,"Apoya la espalda en la pared, a 90 grados, levanta una pierna y sostén.",4 series de 5-8 reps/pierna,4 series de 6-10 reps,,4 series de 6-8 reps,,4 series de 4-6 saltos/pierna,,4 series de 30-45 seg/pierna,,"Si es muy difícil, no sujetes el pie, solo mantén la pierna doblada atrás.","Mantén la alineación hombros-cadera-rodillas, no te ""sientes"" hacia atrás.",Mantén las caderas extendidas para forzar el isquio a trabajar.,"Aterriza con la rodilla ligeramente flexionada, nunca rígida.","Aguanta el ardor, es puro trabajo isométrico.","Cuádriceps, Core",Cuádriceps (Recto femoral),"Isquiotibiales, Glúteos","Potencia (Cuádriceps, Gemelos)",Cuádriceps (Isometría),Vigor Corporal,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 5-8 reps/pierna,,,,,
,Roble: Tren Inferior C,Pistol Squat con Salto,Curl Nórdico Excéntrico Lento (10 seg),Skater Squat con Déficit,Broad Jumps (Saltos de rana continuos),Elevación de Talón Explosiva (rebote),Suelo,Soporte pies,Cajón o bloque de madera,Suelo,Suelo o escalón,Baja a Pistol Squat y al subir explota para separar el pie del suelo. Aterriza en la misma pierna.,Baja el cuerpo tomando 10 segundos enteros hasta llegar al suelo. Empuja con manos para subir.,"Realiza Skater Squat sobre un bloque, permitiendo que la rodilla libre baje más allá del pie de apoyo.",Encadena saltos hacia adelante buscando máxima distancia sin frenar el impulso.,"Sube rápidamente los talones, baja y rebota inmediatamente como un muelle.",4 series de 4-6 reps/pierna,4 series de 4-6 reps,,4 series de 5-8 reps/pierna,,4 series de 8 saltos,,4 series de 25-30 reps,,Absorbe el impacto bajando directamente a la siguiente repetición.,"Control mental total, no te dejes caer al final.",El déficit aumenta brutalmente el rango de movimiento del cuádriceps.,Usa los brazos para balancear y generar inercia.,Entrena la reactividad del tendón de Aquiles.,Potencia unilateral,Isquiotibiales (Daño excéntrico),"Cuádriceps, Glúteos",Potencia global,"Tendón de Aquiles, Gemelos",Vigor Corporal,Vigor Corporal,Roble,Tren Inferior,,Mas de 3 Dias,Martes Viernes,Martes Viernes,Mas de 3 Dias,4 series de 4-6 reps/pierna,,,,,
,Roble: Cuerpo Completo A,Muscle-ups Estrictos,Pistol Squat Libre,Handstand Push-ups Estrictas,Curl Nórdico Completo,Front Lever Hold,Barra de dominadas,Suelo,Pared o libre,Soporte pies,Barra de dominadas,Transición limpia de dominada a fondo.,Sentadilla unilateral profunda libre.,Flexiones verticales de pino.,Baja y sube usando los isquios.,Cuelga en posición horizontal.,4 series de 3-5 reps,4 series de 5-8 reps/pierna,,4 series de 4-8 reps,,4 series de 4-6 reps,,4 series de 10-15 seg,,Fuerza técnica pura.,Estabiliza el pie como un trípode.,Aprieta glúteos en el Handstand.,Tensión brutal en isquios.,Retracción y depresión escapular.,"Espalda, Pecho, Tríceps",Cuádriceps,Hombros,Isquiotibiales,"Dorsales, Core",Vigor Corporal,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,Lunes Viernes,Miercoles,3 Dias,4 series de 3-5 reps,,,,,
,Roble: Cuerpo Completo B,One Arm Push-ups,Shrimp Squat Avanzada,Dominadas a Una Mano (Negativas/Asistidas),Salto al Cajón a Una Pierna,Human Flag (Holds),Suelo,Suelo,Barra de dominadas,Cajón alto,Poste vertical,Flexión estricta a un brazo.,Baja agarrando la pierna libre atrás.,Trabajo unilateral de tirón.,Salto explosivo al cajón con una pierna.,Bandera humana.,4 series de 5-8 reps/brazo,4 series de 5-8 reps/pierna,,4 series de 3-5 reps/brazo,,4 series de 4-6 saltos/pierna,,4 series de 10-15 seg/lado,,Control rotacional.,Rodilla dominante.,Cierra el agarre.,Aterrizaje suave.,Brazos bloqueados.,"Pecho unilateral, Core",Cuádriceps,Espalda unilateral,Potencia inferior,"Core extremo, Oblicuos",Vigor Corporal,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,Miercoles,Lunes Viernes,3 Dias,4 series de 5-8 reps/brazo,,,,,
,Roble: Cuerpo Completo C,Front Lever Pull-ups,Sissy Squat Libre,Tuck Planche Push-ups,Dragon Pistol Squat,L-Sit to Handstand (o progresiones),Barra de dominadas,Suelo,Barras Paralelas de Madera Veta & Vigor,Suelo,Barras Paralelas de Madera Veta & Vigor,Dominadas en horizontal.,Sentadilla enfocada al recto femoral.,Flexión en palanca.,Sentadilla unilateral cruzada.,Empuje desde escuadra a vertical.,4 series de 4-6 reps,4 series de 8-10 reps,,4 series de 5-8 reps,,4 series de 4-6 reps/pierna,,4 series de 3-5 reps,,Puro dorsal.,Rodillas sanas.,Hombro frontal.,Movilidad de cadera.,Flujo motriz avanzado.,"Espalda, Core",Cuádriceps,"Pecho, Hombros",Cuádriceps,"Hombros, Core, Tríceps",Vigor Corporal,Vigor Corporal,Roble,Cuerpo Completo,,3 Dias,,,3 Dias,4 series de 4-6 reps,,,,,
,Roble Gym: Tren Superior A,Press de Banca Plano con Barra (Pesado),Dominadas con Lastre (Pesado),Press Militar Estricto con Barra,Remo con Barra Pendlay (Pesado),Fondos en Paralelas Lastrados,Banco + Barra,Cinturón Lastre,Barra + Discos,Barra + Discos,Barras Paralelas + Lastre,Fuerza máxima. Levanta explosivo.,Carga para bajas repeticiones. Pasa la barbilla.,Empuje vertical estricto sin impulso de piernas.,"Desde el suelo, tira explosivo.",Rompe los 90 grados con lastre pesado.,5 series de 2-4 reps,5 series de 3-5 reps,,4 series de 4-6 reps,,4 series de 4-6 reps,,4 series de 4-6 reps,,Aplica leg drive constante.,Core duro como roca.,Mete la cabeza bajo la barra al subir.,"No levantes el torso, usa los dorsales.","Codos cerrados, inclina el torso.","Pecho, Fuerza Máxima",Dorsales (Tracción pesada),Hombros (Empuje pesado),Espalda (Potencia),"Tríceps, Pecho Inferior",Carga de Hierro,Vigor Corporal,Roble,Tren Superior,,Mas de 3 Dias,Lunes Jueves,Lunes Jueves,Mas de 3 Dias,5 series de 2-4 reps,,,,,
