Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,Video Ejemplo,Musculos
Flexiones Inclinadas (manos en silla),Semilla,Silla o superficie elevada,Coloca las manos sobre una silla firme a la anchura de los hombros. Mantén el cuerpo en línea recta y baja el pecho hacia la silla doblando los codos. Empuja con fuerza para volver a subir.,Cuanto más baja sea la superficie donde apoyas las manos más difícil será. Empieza con algo alto y ve bajando conforme ganes fuerza.,3 series de 8-12 reps,video,"Pectorales, Tríceps, Deltoides"
Plancha en Rodillas,Semilla,N/A,Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,3 series de 20-30 seg,video,"Core (Abdomen), Hombros"
Remo con Liga (agarre neutro),Semilla,Barra para Ligas + Banda,"De pie frente a la barra, pasa la liga por la barra y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.",Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,3 series de 10-12 reps,video,"Espalda (Dorsales), Bíceps, Romboides"
Flexiones en Rodillas,Semilla,N/A,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,3 series de 8-12 reps,video,"Pectorales, Tríceps, Deltoides"
Remo con Liga (agarre supino),Semilla,Barra para Ligas + Banda,Siéntate frente a la barra con las piernas extendidas. Pasa la liga por la barra y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,3 series de 10-12 reps,video,"Bíceps, Espalda (Dorsales)"
Press de Hombro con Liga,Semilla,Barra para Ligas + Banda,Pisa la liga con ambos pies a la anchura de los hombros. Sujeta los extremos a la altura de los hombros con las palmas al frente. Empuja hacia arriba extendiendo los brazos y baja con control.,No arquees la espalda al empujar. Aprieta el abdomen para proteger la zona lumbar.,3 series de 10-12 reps,video,"Deltoides, Tríceps"
Plancha Inclinada (manos en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con las manos y extiende el cuerpo en posición de plancha. Mantén el abdomen apretado y el cuerpo en línea recta desde la cabeza hasta los talones.,Empuja las barras con fuerza activando el serrato. No dejes que la cadera caiga ni se suba.,3 series de 30-45 seg,video,"Core (Abdomen), Hombros, Serrato"
Fondos Asistidos (pies en suelo),Semilla,Barras Paralelas bajas,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,3 series de 8-10 reps,video,"Tríceps, Pecho inferior, Deltoides"
Remo con Liga (agarre prono),Semilla,Barra para Ligas + Banda,Siéntate frente a la barra con piernas extendidas. Pasa la liga por la barra y sujeta los extremos con las palmas hacia abajo. Tira hacia tu pecho llevando los codos hacia arriba y afuera.,Aprieta los omóplatos al final del movimiento. Controla la fase de regreso sin dejarte jalar.,3 series de 10-12 reps,video,"Trapecio, Deltoides posterior, Romboides"
L-Sit Asistido (rodillas flexionadas),Semilla,Barras Paralelas bajas,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,3 series de 15-20 seg,video,"Abdominales, Tríceps, Flexores de cadera"
